小区编号,小区面积,300m公交站点计数,300m站点密度,300m地铁站数量,300m地铁站点密度,地铁站周围300m公交线路数,:地铁站周围500m公交线路数,支路长度（m）,次干道长度（m）,主干道长度（m）,快速路长度（m）,总长（m）,支路密度（km/km2）,次干道密度(km/km2),主干道密度(km/km2),快速路密度(km/km2),总道路密度(km/km2),快线长度（m）,普通线长度（m）,晚班车长度（m）,支线长度（m）,住宅POI集聚水平（签到次数/km2）,政府机构POI集聚水平（签到次数/km2）,娱乐POI集聚水平（签到次数/km2）,未知分类POI集聚水平（签到次数/km2）,旅游景点POI集聚水平（签到次数/km2）,酒店宾馆POI集聚水平（签到次数/km2）,金融POI集聚水平（签到次数/km2）,教育POI集聚水平（签到次数/km2）,交通设施POI集聚水平（签到次数/km2）,地点标志POI集聚水平（签到次数/km2）,飞机场POI集聚水平（签到次数/km2）,公共设施POI集聚水平（签到次数/km2）,公司POI集聚水平（签到次数/km2）,购物POI集聚水平（签到次数/km2）,公交线路长度（m）,公交线路密度（km/km2）,公交线网长度,公交线网密度(km/km2),轨道线路长度,轨道线网密度(km/km2),建成环境FAC1_1,建成环境FAC2_1,建成环境FAC3_1,建成环境综合评分,人口（人）,人口密度（人/km2）,小汽车可达性（分钟）,公交可达性（分钟）,延时指数,300m内公交站300m服务面积,餐饮300m内公交站服务范围内POI（签到次数/km2）,地点标志300m内公交站服务范围内POI（签到次数/km2）,飞机场300m内公交站服务范围内POI（签到次数/km2）,公共设施300m内公交站服务范围内POI（签到次数/km2）,公司300m内公交站服务范围内POI（签到次数/km2）,购物300m内公交站服务范围内POI（签到次数/km2）,交通设施300m内公交站服务范围内POI（签到次数/km2）,教育300m内公交站服务范围内POI（签到次数/km2）,金融300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆300m内公交站服务范围内POI（签到次数/km2）,旅游景点300m内公交站服务范围内POI（签到次数/km2）,未知分类300m内公交站服务范围内POI（签到次数/km2）,娱乐300m内公交站服务范围内POI（签到次数/km2）,政府机构300m内公交站服务范围内POI（签到次数/km2）,住宅300m内公交站服务范围内POI（签到次数/km2）,餐饮集聚300m内公交站服务范围内POI（签到次数/km2）,地点标志集聚300m内公交站服务范围内POI（签到次数/km2）,飞机场集聚300m内公交站服务范围内POI（签到次数/km2）,公共设施集聚300m内公交站服务范围内POI（签到次数/km2）,公司集聚300m内公交站服务范围内POI（签到次数/km2）,购物集聚300m内公交站服务范围内POI（签到次数/km2）,交通设施集聚300m内公交站服务范围内POI（签到次数/km2）,教育集聚300m内公交站服务范围内POI（签到次数/km2）,金融集聚300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆集聚300m内公交站服务范围内POI（签到次数/km2）,旅游景点集聚300m内公交站服务范围内POI（签到次数/km2）,未知分类集聚300m内公交站服务范围内POI（签到次数/km2）,娱乐集聚300m内公交站服务范围内POI（签到次数/km2）,政府机构集聚300m内公交站服务范围内POI（签到次数/km2）,住宅集聚300m内公交站服务范围内POI（签到次数/km2）,FAC1_1公交站点服务范围,FAC2_1公交站点服务范围,FAC3_1公交站点服务范围,,0时签到总数,1时签到总数,2时签到总数,3时签到总数,4时签到总数,5时签到总数,6时签到总数,7时签到总数,8时签到总数,9时签到总数,10时签到总数,11时签到总数,12时签到总数,13时签到总数,14时签到总数,15时签到总数,16时签到总数,17时签到总数,18时签到总数,19时签到总数,20时签到总数,21时签到总数,22时签到总数,23时签到总数,签到总数总计
141,3.054753,29,9.493402576,0,0,,,906.2332203,643.2243299,1357.708688,0,2907.166238,0.296663338,0.210565087,0.444457764,0,0.951686188,0,2427.978379,0,1760.838434,86.09534061,0,2.618869676,0.32735871,0,21.93303354,0,9.820761286,11.45755483,0,0,4.255663224,1.964152257,495.6210862,137887.2047,45.13857739,6352.707827,2.079614236,,,-0.285456522,-0.129750675,-0.316389628,-0.254681793,22289.04832,7296.514095,2337.909278,8756.621585,3.745492465,4.6262836,120,15,,125,9,3783,223,46,2,76,,13,43,,266,25.93874703,3.242343379,0,27.01952816,1.945406027,817.7190002,48.20283823,9.943186362,0.432312451,16.42787312,0,2.810030928,9.294717687,0,57.49755592,-0.300277499,-0.330205469,-0.026619671,-0.254116713,158,106,64,28,13,15,23,38,71,77,69,95,84,94,103,90,69,85,100,105,84,107,106,159,1943
142,3.296173,25,7.584553359,0,0,,,1465.160292,0,1188.205688,0,2653.36598,0.444503457,0,0.360480378,0,0.804983834,0,1151.850361,0,341.7279395,1.213528537,0,0,0,0,0.606764269,0,0.303382134,0,0,0,0,5.157496284,0,46291.68321,14.04406966,3701.072327,1.122839222,,,-0.370362442,-0.270398937,-0.262739809,-0.323970264,24223.9368,7349.109649,2470.890722,9165.858948,3.709536349,4.1412044,,2,,,2,,39,,,2,,,2,,42,0,0.482951288,0,0,0.482951288,0,9.417550121,0,0,0.482951288,0,0,0.482951288,0,10.14197705,-0.549904741,-0.333978375,-0.073001,-0.412668117,3,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,2,1,2,1,3,1,1,5,24
143,1.751693,12,6.850515473,0,0,,,0,1298.698004,0,1002.466559,2301.164563,0,0.741395898,0,0.572284389,1.313680287,0,1433.708618,0,1280.078653,361.3646912,0,0.570876289,5.708762894,0,0,0,0,14.84278352,0,0,0,5.708762894,7.421391762,68593.3131,39.15829606,4984.475573,2.845518919,,,-0.367149134,-0.269072901,-0.258639651,-0.321023014,12851.7555,7336.762492,2285.156379,8809.785276,3.855222057,2.1243386,13,,,38,16,20,47,188,,3,,21,2,,703,6.119551751,0,0,17.8879205,7.531756002,9.414695002,22.12453325,88.49813302,0,1.41220425,0,9.885429752,0.9414695,0,330.9265293,-0.53705977,-0.285986722,-0.068269009,-0.393933822,34,22,15,2,2,4,5,43,34,23,14,24,34,33,32,28,30,28,45,31,40,61,58,57,699
144,1.086648,19,17.48496293,3,2.760783621,18,22,10327.65455,728.4939229,1611.330082,0,12667.47855,9.504139841,0.670404697,1.482844566,0,11.6573891,2355.542824,4233.018995,3859.766172,1067.112502,369.024744,0,217.1816448,1754.01786,0,123.3150017,0.920261207,4.601306035,452.7685138,10.12287328,0,22.08626897,12.8836569,4.601306035,70985.97932,65.325643,4650.28536,4.279477218,4070.449455,3.745876729,0.545576051,-0.348180255,-0.207295482,0.174533966,10198.30916,9385.108296,2334.622177,7351.584694,3.148939801,2.5624809,1414,671,,48,67,1436,2382,59,4,362,4706,2010,309,2,1301,551.808991,261.8556103,0,18.73184694,26.14653635,560.3944209,929.5679043,23.02456186,1.560987245,141.2693457,1836.501494,784.3960905,120.5862647,0.780493622,507.7111014,0.064650821,-0.347128249,-0.248905951,-0.082742582,240,156,70,47,19,20,25,58,91,153,162,175,213,273,245,232,246,248,241,248,312,325,354,313,4466
145,0.609044,24,39.40601993,2,3.283834994,16,22,4463.946586,0,1187.845293,0,5651.791879,7.329432005,0,1.95034397,0,9.279775975,1721.267955,2083.974177,663.3315245,381.5852134,210.1654396,4.925752491,16.41917497,238.0780371,0,139.5629872,3.283834994,93.58929732,520.4878465,31.19643244,0,45.97368991,27.91259745,2334.806681,37089.16339,60.89734631,3226.923219,5.298341694,,,0.099147944,0.423120691,-0.210477278,0.111937189,8008.308555,13148.98194,2201.639918,7857.19257,3.56879093,2.7414262,1344,676,,724,89,1465,1013,111,4,296,4706,2190,374,5,895,490.2557654,246.5869772,0,264.0961117,32.46485351,534.3933752,369.5156922,40.48987348,1.45909454,107.972996,1716.624726,798.8542606,136.4253395,1.823868175,326.4724033,0.060917471,-0.166918058,0.104843901,0.021079639,132,85,41,20,14,9,25,25,76,98,92,116,142,117,96,119,105,105,130,112,108,160,219,143,2289
146,1.518834,14,9.217597183,1,0.658399799,11,12,10673.8807,0,3029.166699,0,13703.0474,7.027680905,0,1.994402745,0,9.02208365,0,2161.42956,1617.075626,505.1995989,940.8533125,0,41.47918732,0.658399799,0,116.5367644,0.658399799,5.26719839,69.13197887,5.26719839,0,1.316799598,4.608798592,5.26719839,26999.72014,17.77661031,2628.963034,1.730908733,1775.442106,1.168950725,-0.16566993,-0.258627705,-0.272914808,-0.21030774,7668.365329,5048.85019,2328.139175,8117.259714,3.486586971,2.2182674,427,655,,53,50,14,738,52,2,188,1,92,301,2,1116,192.4925733,295.2754929,0,23.8925208,22.54011396,6.31123191,332.6920821,23.44171852,0.901604559,84.75082851,0.450802279,41.47380969,135.6914861,0.901604559,503.0953437,-0.31667392,-0.300772769,-0.199831266,-0.290891494,141,74,34,16,15,19,16,21,47,62,57,76,68,103,92,99,105,124,139,124,138,146,170,200,2086
147,8.128839,67,8.242259442,0,0,,,525.8895753,0,2677.495465,2997.258378,6200.643418,0.064694303,0,0.329382273,0.368719122,0.762795698,0,4722.903492,0,3946.540783,77.74788011,0,197.0761138,0.123018798,8.734334633,49.69959425,0,1.230187976,7.750184251,1.230187976,0,15.5003685,0.861131583,17.09961287,119600.9679,14.71316727,14986.33967,1.843601488,,,-0.198955361,-0.362029152,-0.267964726,-0.252373115,37287.20768,4587.027456,2388.764403,8877.645194,3.716417233,8.7573175,29,17,,137,13,172,200,263,,520,,261,180,,450,3.31151634,1.941233717,0,15.64405995,1.484472842,19.64071761,22.83804373,30.0320275,0,59.37891369,0,29.80364706,20.55423935,0,51.38559839,-0.492850071,-0.320122998,-0.071707975,-0.375462977,212,98,44,21,19,22,44,96,154,163,122,159,143,125,129,108,134,130,162,155,174,179,230,264,3087
148,3.308118,12,3.627440134,0,0,,,0,0,0,1218.952618,1218.952618,0,0,0,0.368473137,0.368473137,0,0,0,0,11.78918043,0,0,0.302286678,0,0,0,0.302286678,0,0,0,0,0.302286678,0,7547.833417,2.281609488,1603.914074,0.484841857,,,-0.370325227,-0.269845159,-0.302266865,-0.332075665,6416.550739,1939.637806,2263.943416,9263.666326,4.091827676,2.6346226,1,4,,123,,1,3,222,,2,,1,138,,80,0.379561004,1.518244017,0,46.68600353,0,0.379561004,1.138683013,84.26254295,0,0.759122009,0,0.379561004,52.37941859,0,30.36488034,-0.518839592,-0.338824421,-0.024595801,-0.385883381,0,0,0,0,0,0,1,6,1,3,1,4,1,4,1,2,1,1,1,4,3,2,4,3,43
149,3.134385,39,12.44263229,2,0.638083707,29,30,5089.031468,1040.80244,1762.164347,794.8329916,8686.831247,1.623614032,0.33205954,0.562204179,0.253584991,2.771462742,0,2568.367469,0,3737.62519,6.061795217,0.319041854,141.9736248,1.914251121,0.319041854,151.2258386,0.319041854,0.638083707,140.3784155,3.190418535,0,20.41867862,7.337962631,739.5390164,138011.7628,44.03152862,4142.551319,1.321647251,2717.306565,0.866934523,-0.002514323,-0.099894365,-0.273382508,-0.082395511,19339.30413,6170.047435,2281.788501,8296.795238,3.636093018,4.8053403,628,2120,,215,21,2375,1082,268,3,679,1,50,611,,748,130.6879348,441.175831,0,44.74188852,4.370137948,494.2417918,225.1661552,55.77128429,0.624305421,141.301127,0.208101807,10.40509035,127.1502041,0,155.6601517,-0.192160049,-0.366836819,-0.101140678,-0.211704085,233,135,81,43,37,36,46,66,134,259,198,228,220,192,193,186,211,183,228,233,268,265,255,289,4219
150,4.463954,21,4.704349552,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3069.58446,5.824432779,0,4.480332907,9.184682459,0,0,0,6.72049936,51.29981178,165.3242843,0,2.464183099,2.464183099,4.032299616,71531.53154,16.02425373,8876.554291,1.988495914,,,-0.36585969,-0.269417378,-0.28406946,-0.325706775,33826.10375,7577.610287,2330.848454,8294.704577,3.558663182,3.7123437,26,738,,127,14,19,130,30,,,,40,158,,26,7.003661865,198.7962483,0,34.21019449,3.771202542,5.118060593,35.01830932,8.081148305,0,0,0,10.77486441,42.56071441,0,7.003661865,-0.519630368,-0.321514904,-0.050814264,-0.387718281,55,28,19,15,17,18,24,48,45,52,41,64,57,41,31,33,41,59,59,47,63,68,109,99,1133
151,5.427859,,,,,,,278.3813405,0,3049.029522,1935.830497,5263.24136,0.051287504,0,0.561737054,0.35664716,0.969671718,0,10586.41589,0,8326.774753,,,,,,,,,,,,,,,,,,,,,,,,0,,,2510.142562,9943.870219,3.96147628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1.125686,21,18.65529108,1,0.888347195,6,7,5947.93297,0,1792.717436,0,7740.650406,5.283829567,0,1.592555505,0,6.876385072,902.924615,4251.665043,546.4882399,2237.830316,41.75231814,4.441735973,9066.471467,75.50951153,0,3.553388778,0,104.824969,15.9902495,194.5480356,0,0,6.218430362,0,59750.90518,53.07954898,5445.195434,4.837224088,1538.119818,1.366384425,6.208480882,-6.167411151,1.250309076,2.212835183,3130.568962,2781.032155,1954.570988,7173.280164,3.670002373,3.0077727,2950,262,,1111,121,7644,313,786,4,1163,,664,11404,5,505,980.7921988,87.10764613,0,369.3763162,40.22910375,2541.415447,104.0637147,261.3229384,1.329887727,386.6648567,0,220.7613627,3791.50991,1.662359659,167.8983256,2.549687291,-2.278915196,-1.429832262,0.763270308,311,137,75,28,20,19,30,82,167,209,243,250,296,283,359,454,505,668,1021,1371,1308,1193,968,746,10743
153,1.991452,17,8.536484937,0,0,,,6295.292422,0,2817.871741,1512.567212,10625.73138,3.161156996,0,1.41498351,0.759529837,5.335670343,0,4561.871019,1356.39053,4882.533734,70.30046418,1.004292345,1.506438518,272.1632256,0,10.04292345,1.004292345,15.56653136,47.20174024,5.021461727,0,0.502146173,70.30046418,3.515023209,103702.1717,52.07364863,5117.168111,2.569566382,,,-0.321407336,-0.276779045,0.265051212,-0.188205687,22896.00352,11497.14054,2133.782744,10363.78719,4.857002063,3.0732317,575,1329,,61,152,85,130,32,4,22,,943,51,2,443,187.0994628,432.4438017,0,19.84881257,49.45933624,27.65818145,42.3007481,10.41249184,1.30156148,7.15858814,0,306.8431189,16.59490887,0.65078074,144.1479339,-0.404573087,-0.100367637,-0.219625988,-0.304648476,92,44,20,10,7,5,7,13,49,48,47,49,57,37,36,51,63,57,38,53,68,81,89,117,1138
154,4.066837,25,6.147283503,0,0,,,1463.821833,2390.22594,736.4033716,1205.264148,5795.715293,0.359941112,0.58773586,0.181075212,0.296364017,1.4251162,1521.513179,5365.876981,0,1169.10754,0,0,2.950696082,1.229456701,0,0,0,1.967130721,17.70417649,3.442478762,0,2.213022061,891.6019993,0.24589134,78086.23491,19.20072895,4853.014555,1.193314252,,,-0.401882682,-0.40498305,6.958793312,1.135240126,25931.71769,6376.384815,1837.144033,7615.570893,4.145331425,3.5273442,13,369,,68,3801,21,72,12,,711,,12,13,,5,3.685492332,104.6112823,0,19.27795989,1077.581258,5.953487613,20.41195753,3.401992921,0,201.5680806,0,3.401992921,3.685492332,0,1.417497051,-0.051685371,5.625202825,-3.326158383,0.522700837,333,207,120,43,26,34,28,71,127,126,141,140,286,153,102,132,127,140,168,171,159,228,306,379,3747
155,2.822133,29,10.27591542,0,0,,,0,2003.53338,0,1436.14332,3439.6767,0,0.709935846,0,0.508885768,1.218821615,0,5903.388988,0,2535.134068,7.441180129,0,85.04205861,1576.821503,0,53.85997045,0.708683822,0.708683822,165.8320143,2.126051465,0,3.89776102,17.00841172,39.33195211,73287.09612,25.96868968,7523.32233,2.665828411,,,-0.249389794,-0.296630002,-0.158355368,-0.241667647,23864.99612,8456.368328,2051.63278,9103.243986,4.437072791,3.8423936,153,14,,16,30,167,508,1,2,50,,4462,242,,52,39.81892953,3.64356218,0,4.164071062,7.807633242,43.46249171,132.2092562,0.260254441,0.520508883,13.01272207,0,1161.255318,62.98157482,0,13.53323095,-0.479074926,-0.33429041,-0.122073359,-0.379913388,349,135,82,37,32,18,36,100,185,217,265,285,338,316,320,297,315,276,316,284,336,318,383,391,5631
156,3.267544,29,8.875167404,0,0,,,851.1311044,0,0,525.3723323,1376.503437,0.26048038,0,0,0.160785083,0.421265463,0,4365.608944,0,0,180.8697909,0,3.366442808,20.19865685,1.224161021,5.20268434,0,0,8.569127149,1632.724762,0,2.142281787,21.42281787,20.50469711,37835.35605,11.57914203,7565.97548,2.315493068,,,-0.363396208,-0.265981449,-0.130950817,-0.291534382,24694.61031,7557.544844,1826.177984,8333.991138,4.563624801,4.4335761,77,5338,,13,95,113,46,6,2,50,4,4498,24,,65,17.36747002,1203.99422,0,2.932170263,21.42739808,25.48732613,10.3753717,1.353309352,0.451103117,11.27757794,0.902206235,1014.530911,5.413237409,0,14.66085132,-0.516706542,-0.222019276,-0.137130018,-0.381457639,424,195,118,46,41,36,66,121,216,260,276,281,310,280,275,236,237,287,319,321,380,405,492,574,6196
157,2.128714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,869.8814477,,,,,,,,,,,,,,,,,,,,,,,,0,,,2417.241237,9225.684768,3.816617318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3.600596,26,7.221026741,1,0.277731798,40,40,7733.779279,307.8584213,6744.203516,0,14785.84122,2.147916422,0.085502073,1.873079767,0,4.106498262,1006.732996,5938.378346,3050.936951,1049.642947,361.3290689,0,214.9644114,82.20861213,0,3.610513371,0,26.38452078,27.49544798,275.2322116,0,13.60885809,1.110927191,627.6738629,125890.1264,34.96369112,6389.770405,1.774642422,3061.65171,0.850318033,-0.089691483,-0.228492213,-0.295695164,-0.165926442,23147.97657,6428.929147,1984.845679,6732.237219,3.391818966,4.9998198,584,1448,,2524,50,2687,999,94,2,179,9754,3607,299,13,2190,116.8042096,289.6104376,0,504.8181936,10.00036041,537.4193686,199.8072011,18.80067758,0.400014417,35.80129028,1950.870309,721.4260002,59.80215527,2.600093707,438.0157861,-0.186336495,-0.037177523,0.622054498,0.000360076,278,160,84,48,24,28,84,101,149,188,196,255,292,352,342,342,359,372,424,399,379,394,414,428,6092
159,1.194797,14,11.71747167,1,0.836962262,6,7,7004.400493,2236.886858,1014.84334,0,10256.13069,5.862418882,1.872189885,0.849385578,0,8.583994345,531.4395747,4429.602524,2184.491005,3534.791912,225.9798108,0,1.673924524,10.88050941,0,0,0,11.71747167,60.26128288,3.347849049,0,0.836962262,20.92405656,30.13064144,57930.64049,48.48575992,4956.730265,4.148596175,1856.197244,1.553567044,-0.344420699,-0.265154586,-0.136762465,-0.282077957,4869.773941,4075.817014,1998.503093,7574.133538,3.789903335,2.2005537,544,9,,2,135,39,156,520,1,4,,82,10282,,441,247.2105089,4.089879743,0,0.908862165,61.34819614,17.72281222,70.89124887,236.3041629,0.454431083,1.81772433,0,37.26334877,4672.46039,0,200.4041074,1.503676109,-2.785509438,-2.344971178,-0.143370128,29,8,12,4,2,3,3,9,11,28,22,25,19,20,23,27,26,19,40,34,30,35,23,27,479
160,3.677945,10,2.718909608,0,0,,,3038.900527,995.7766916,0,203.8794807,4238.556699,0.826249584,0.270742681,0,0.055432988,1.152425254,0,4264.601787,0,349.2100625,1.631345765,0,0,4.622146334,0.815672883,3.806473452,0,0.271890961,9.244292669,2.175127687,0,0,6.52538306,1.087563843,51912.07176,14.11442307,3981.093358,1.082423298,,,-0.365870761,-0.269330968,-0.251975243,-0.318986783,15894.87849,4321.673785,1958.608696,7494.112826,3.826243007,1.7052789,91,141,,126,59,63,84,8,3,16,3,10,37,,322,53.3637049,82.68442189,0,73.88820679,34.59844604,36.9441034,49.25880453,4.691314717,1.759243019,9.382629434,1.759243019,5.864143396,21.69733057,0,188.8254174,-0.468574443,-0.124377269,-0.081165452,-0.32133363,12,3,3,4,2,0,2,5,2,4,5,3,6,5,7,4,5,5,5,5,4,7,8,21,127
161,1.967758,25,12.70481431,2,1.016385145,16,20,5447.24973,0,584.6870823,0,6031.936812,2.768251853,0,0.297133632,0,3.065385486,99.38703587,2338.202526,0,1708.924982,321.1777058,1.016385145,5.081925725,101.6385145,0,51.83564239,4.573733152,6.606503442,238.3423165,34.04890235,0,6.09831087,7.622888587,5.590118297,87050.36846,44.23835068,3287.682523,1.670775839,598.5042527,0.304155416,-0.331275354,-0.250457347,-0.24504176,-0.293930693,17383.33437,8834.081411,1681.890722,6565.621926,3.903714932,3.5100851,360,77,,93,111,25,2650,87,11,103,,219,36,2,1344,102.561616,21.93679008,0,26.49508412,31.62316492,7.122334441,754.9674508,24.78572386,3.133827154,29.3440179,0,62.39164971,10.2561616,0.569786755,382.8966996,-0.450886305,-0.168359933,-0.14796644,-0.332920381,146,61,29,21,23,6,15,45,34,48,47,46,62,54,45,43,43,54,60,83,96,129,188,189,1567
162,2.501915,27,10.79173353,0,0,,,1088.645979,0,1025.063327,0,2113.709306,0.435125086,0,0.409711492,0,0.844836578,0,3996.565229,0,3929.029334,1.598775338,0,0.399693835,1.199081504,0,0,0,2.797856842,24.38132391,0.799387669,0,26.77948691,23.1822424,7.194489021,34261.22471,13.69400028,6655.0969,2.660001199,,,-0.372265204,-0.243396973,-0.114971771,-0.287689679,20680.04079,8265.684801,1814.565708,7837.601701,4.319271364,4.0954294,19,5714,,97,123,60,124,24,,8,,824,10,,13,4.639318163,1395.213894,0,23.68494009,30.03348074,14.65047841,30.27765538,5.860191364,0,1.953397121,0,201.1999035,2.441746401,0,3.174270322,-0.526868975,-0.159558023,-0.127837055,-0.37250228,17,8,5,4,3,3,4,9,9,6,2,12,14,4,11,9,11,19,13,9,11,12,13,18,226
163,5.193048,37,7.124910072,0,0,,,554.1860821,0,4908.740981,0,5462.927063,0.106716919,0,0.94525238,0,1.051969299,0,6571.729618,0,7786.590805,0,0,0.577695411,0,0,0.577695411,0,0.385130274,44.28998153,0.192565137,0,2.118216508,6.932344935,4.043867879,95260.06459,18.3437674,11225.22752,2.161587475,,,-0.361728623,-0.267719055,-0.248735789,-0.315638354,32212.38003,6202.981376,2432.975207,9414.290897,3.869456158,4.9842162,68,4,,10,41,25,193,65,,2,,,1,,11,13.64306789,0.802533405,0,2.006333513,8.225967405,5.015833783,38.72223681,13.04116784,0,0.401266703,0,0,0.200633351,0,2.206966865,-0.537972254,-0.293022025,-0.09460691,-0.401021606,21,18,7,1,4,5,0,12,22,8,20,13,26,16,11,16,10,14,19,11,22,32,35,32,375
164,3.864737,30,7.762494576,0,0,,,0,0,1708.223466,0,1708.223466,0,0,0.442002513,0,0.442002513,0,4174.117922,0,5100.630177,26.65123138,0,0.258749819,0.776249458,0,0,0,16.30123861,6.986245118,0.258749819,0,1.293749096,0.258749819,8.021244395,62362.50756,16.13628756,9288.963582,2.403517647,,,-0.368711074,-0.266521091,-0.302977794,-0.330538359,17449.36332,4515.019604,2493.091376,9218.696939,3.697697175,4.2231641,17,3,,4,3,31,35,63,,,,3,14,,156,4.025417814,0.71036785,0,0.947157133,0.71036785,7.340467779,8.287624911,14.91772484,0,0,0,0.71036785,3.315049965,0,36.93912818,-0.544576298,-0.334860367,-0.073709255,-0.409813491,5,6,2,0,2,0,3,6,10,8,14,10,16,8,11,18,10,7,13,14,16,19,23,18,239
165,5.643816,59,10.45391983,0,0,,,0,2098.190207,1839.722361,0,3937.912568,0,0.371768004,0.325971357,0,0.697739361,0,6619.827607,0,10112.05036,110.9178612,0,2.657776228,6.910218193,0,288.8116834,0,52.26959915,18.95880376,142.9883611,0,7.61895852,0.708740327,0,152972.5138,27.10444738,11606.56458,2.056510095,,,-0.20901277,-0.175194008,-0.314143739,-0.222889888,34271.08791,6072.325517,2611.307613,9948.489775,3.809773205,6.2830529,1416,824,,225,102,63,199,347,6,1755,13,42,45,12,1146,225.3681487,131.1464368,0,35.81061684,16.2341463,10.02697272,31.67250112,55.22792909,0.954949782,279.3228114,2.069057862,6.684648477,7.162123368,1.909899565,182.3954084,-0.221933597,-0.221261843,-0.144142065,-0.206868756,249,140,75,49,28,18,83,99,126,119,151,152,167,161,145,139,131,138,159,193,203,245,308,327,3605
166,2.371799,41,17.2864564,0,0,,,0,1992.466651,1103.286901,0,3095.753552,0,0.840065558,0.465168803,0,1.305234361,0,4687.133298,0,4970.378838,64.50799583,5.059450653,55.2323363,0.421620888,5.902692429,2.951346214,2.529725327,175.8159102,96.5511833,8.010796868,0,77.15662246,40.89722611,29.09184126,169720.9603,71.55790195,4246.026012,1.790213257,,,0.080699316,-0.220322723,0.016988022,-0.004602299,20504.68315,8645.202713,2865.161491,10786.70748,3.764781676,3.866061,1705,29,,271,97,70,245,458,6,850,14,39,135,14,572,441.0173559,7.501174969,0,70.09718677,25.09013696,18.10628441,63.37199542,118.4668323,1.551967235,219.8620249,3.621256881,10.08778703,34.91926278,3.621256881,147.9542097,-0.114081361,-0.224558124,-0.145475587,-0.143510388,207,114,70,25,22,17,15,90,106,154,124,119,104,125,134,147,154,107,134,161,172,198,240,219,2958
167,5.025824,47,9.351700338,0,0,,,0,0,0,0,0,0,0,0,0,0,0,2225.297147,0,4028.141693,18.50442833,0,0.596917043,0.79588939,0,0,0,23.87668171,6.168142776,0.198972348,0,0,0,9.749645033,65094.29032,12.95196376,9225.473512,1.835614123,,,-0.367947251,-0.267611609,-0.305191733,-0.330840151,43581.14011,8671.44176,2858.205339,10473.83367,3.66447908,5.9046698,419,6,,90,7,26,325,41,1,,,6,41,14,69,70.96078429,1.016144882,0,15.24217324,1.185502363,4.403294491,55.04118113,6.943656697,0.16935748,0,0,1.016144882,6.943656697,2.371004726,11.68566615,-0.502535843,-0.339492382,-0.062982512,-0.383667894,24,12,6,4,4,2,1,9,8,11,9,9,11,12,7,4,11,10,11,21,20,28,29,44,307
168,3.440115,20,5.813759133,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4071.605786,2.325503653,0,1.162751827,0,0,0.581375913,76.4509326,0.290687957,24.70847632,3.48825548,0,2.61619161,18.89471718,1.162751827,46182.91209,13.42481635,9288.514666,2.700059349,,,-0.369685232,-0.270180995,-0.150608297,-0.300116769,25587.80782,7438.06757,2364.451646,9456.562372,3.999473784,3.7998738,3,8,,9,63,2,85,,263,2,,1,1,,47,0.789499904,2.105333077,0,2.368499712,16.57949798,0.526333269,22.36916394,0,69.21282491,0.526333269,0,0.263166635,0.263166635,0,12.36883183,-0.543523402,-0.244252864,-0.117933675,-0.398475667,42,9,4,2,0,2,11,87,13,12,11,6,27,20,6,8,3,9,27,13,14,23,48,59,456
169,2.966748,17,5.730179982,0,0,,,3025.067952,0,2204.416599,0,5229.484551,1.019657872,0,0.743041404,0,1.762699276,0,2620.344105,0,204.5804157,41.1224681,0,3.370694107,118.985502,0,53.25696689,0.337069411,0.337069411,204.9382017,1.011208232,0,21.90951169,155.3889983,4.044832928,10148.80609,3.420852088,4082.468502,1.376075252,,,-0.343147464,-0.255113834,0.959337611,-0.049966032,16310.12239,5497.643342,2769.135524,10039.1449,3.625371461,2.8296881,21,9,,65,453,106,615,66,1,158,,29,5,,1323,7.421312617,3.18056255,0,22.97072953,160.088315,37.45995893,217.3384409,23.32412537,0.353395839,55.83654255,0,10.24847933,1.766979195,0,467.5426949,-0.441393978,0.563788864,-0.529668292,-0.245390354,117,50,19,25,13,10,10,33,50,67,84,98,119,80,108,106,85,141,99,75,91,85,117,132,1814
170,3.334533,2,0.599784138,0,0,,,3516.343391,0,161.4000943,1657.663268,5335.406753,1.054523494,0,0.048402608,0.497120067,1.600046169,0,645.0044245,0,0,6.897517583,0,0,0,2.399136551,0,0,0,0.299892069,233.0161375,0,69.87485204,0,0,8496.606802,2.548064992,732.3583036,0.219628447,,,-0.378184947,-0.195988113,-0.301399457,-0.31856919,2956.666066,886.6807034,2974.464066,10410.87687,3.500084936,0.5364108,,,,23,,,1,,,,,,,,,0,0,0,42.87758561,0,0,1.864242853,0,0,0,0,0,0,0,0,-0.541597579,-0.310527873,-0.007014045,-0.390086184,52,27,21,4,8,5,14,26,42,38,53,58,58,67,59,69,48,51,66,46,46,63,54,74,1049
